Laser delay,Gate width,Counts
14.8,2.0999999999999996,53555.0
14.8,2.0,45412.0
14.8,1.9000000000000004,37610.0
14.8,1.8000000000000007,31155.0
14.8,1.6999999999999993,25038.0
14.8,1.5999999999999996,20093.0
14.8,1.5,15451.0
14.8,1.4000000000000004,12030.0
14.8,1.3000000000000007,9042.0
14.8,1.1999999999999993,6926.0
14.8,1.0999999999999996,5479.0
14.8,1.0,3859.0
14.8,0.9000000000000004,2488.0
14.8,0.8000000000000007,1512.0
14.8,0.6999999999999993,417.0
14.8,0.5999999999999996,-427.0
14.8,0.5,-1233.0
14.8,0.40000000000000036,-1793.0
14.8,0.3000000000000007,-2341.0
14.8,0.1999999999999993,-2808.0
14.8,0.09999999999999964,-3256.0
14.85,0.0,-3469.0
14.85,-0.09999999999999964,-3785.0
14.85,3.0,214830.0
14.85,2.9000000000000004,184175.0
14.85,2.8,159603.0
14.85,2.7,139981.0
14.85,2.5999999999999996,122273.0
14.85,2.5,104007.0
14.85,2.4000000000000004,90123.0
14.85,2.3,77325.0
14.85,2.2,67111.0
14.85,2.0999999999999996,57589.0
14.85,2.0,48862.0
14.85,1.9000000000000004,40696.0
14.85,1.8000000000000007,33808.0
14.85,1.6999999999999993,27293.0
14.85,1.5999999999999996,21403.0
14.85,1.5,16766.0
14.85,1.4000000000000004,12785.0
14.85,1.3000000000000007,9961.0
14.85,1.1999999999999993,7684.0
14.85,1.0999999999999996,5906.0
14.85,1.0,4692.0
14.85,0.9000000000000004,2694.0
14.85,0.8000000000000007,1841.0
14.85,0.6999999999999993,540.0
14.85,0.5999999999999996,-19.0
14.85,0.5,-920.0
14.85,0.40000000000000036,-1693.0
14.85,0.3000000000000007,-2346.0
14.85,0.1999999999999993,-2816.0
14.85,0.09999999999999964,-3253.0
14.9,0.0,-3571.0
14.9,-0.09999999999999964,-3964.0
14.9,3.0,231752.0
14.9,2.9000000000000004,198756.0
14.9,2.8,173160.0
14.9,2.7,151571.0
14.9,2.5999999999999996,131720.0
14.9,2.5,112219.0
14.9,2.4000000000000004,97735.0
14.9,2.3,83930.0
14.9,2.2,72289.0
14.9,2.0999999999999996,62401.0
14.9,2.0,52694.0
14.9,1.9000000000000004,44621.0
14.9,1.8000000000000007,36391.0
14.9,1.6999999999999993,29920.0
14.9,1.5999999999999996,23384.0
14.9,1.5,18173.0
